Title,Price_GBP,Rating_Num,Stock_Quantity,Rating_Percentage,Price_Band,Stock_Status
A Light in the Attic,51.77,3,7,60.0,Premium,Healthy Stock
Tipping the Velvet,53.74,1,20,20.0,Premium,Healthy Stock
Soumission,50.1,1,15,20.0,Premium,Healthy Stock
Sharp Objects,47.82,4,11,80.0,Premium,Healthy Stock
Sapiens: A Brief History of Humankind,54.23,5,8,100.0,Premium,Healthy Stock
The Requiem Red,22.65,1,21,20.0,Budget,Healthy Stock
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,7,80.0,Standard,Healthy Stock
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,19,60.0,Budget,Healthy Stock
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,23,80.0,Budget,Healthy Stock
The Black Maria,52.15,1,11,20.0,Premium,Healthy Stock
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,11,40.0,Budget,Healthy Stock
Shakespeare's Sonnets,20.66,4,24,80.0,Budget,Healthy Stock
Set Me Free,17.46,5,21,100.0,Budget,Healthy Stock
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,4,100.0,Premium,Low Stock
Rip it Up and Start Again,35.02,5,8,100.0,Standard,Healthy Stock
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,24,60.0,Premium,Healthy Stock
Olio,23.88,1,3,20.0,Budget,Low Stock
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,22,20.0,Standard,Healthy Stock
Libertarianism for Beginners,51.33,2,21,40.0,Premium,Healthy Stock
It's Only the Himalayas,45.17,2,2,40.0,Premium,Low Stock
In Her Wake,12.84,1,24,20.0,Budget,Healthy Stock
How Music Works,37.32,2,12,40.0,Standard,Healthy Stock
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,6,60.0,Standard,Healthy Stock
Chase Me (Paris Nights #2),25.27,5,2,100.0,Budget,Low Stock
Black Dust,34.53,5,21,100.0,Standard,Healthy Stock
Birdsong: A Story in Pictures,54.64,3,1,60.0,Premium,Low Stock
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,12,60.0,Budget,Healthy Stock
Aladdin and His Wonderful Lamp,53.13,3,22,60.0,Premium,Healthy Stock
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,12,100.0,Standard,Healthy Stock
Wall and Piece,44.18,4,25,80.0,Premium,Healthy Stock
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,17,100.0,Budget,Healthy Stock
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,10,60.0,Standard,Healthy Stock
The Elephant Tree,23.82,5,16,100.0,Budget,Healthy Stock
The Bear and the Piano,36.89,1,15,20.0,Standard,Healthy Stock
Sophie's World,15.94,5,15,100.0,Budget,Healthy Stock
Penny Maybe,33.29,3,19,60.0,Standard,Healthy Stock
Maude (1883-1993):She Grew Up with the country,18.02,2,12,40.0,Budget,Healthy Stock
"In a Dark, Dark Wood",19.63,1,23,20.0,Budget,Healthy Stock
Behind Closed Doors,52.22,4,20,80.0,Premium,Healthy Stock
You can't bury them all: Poems,33.63,2,25,40.0,Standard,Healthy Stock
Slow States of Collapse: Poems,57.31,3,3,60.0,Premium,Low Stock
Reasons to Stay Alive,26.41,2,5,40.0,Budget,Healthy Stock
Private Paris (Private #10),47.61,5,19,100.0,Premium,Healthy Stock
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,7,100.0,Budget,Healthy Stock
Without Borders (Wanderlove #1),45.07,2,21,40.0,Premium,Healthy Stock
When We Collided,31.77,1,9,20.0,Standard,Healthy Stock
"We Love You, Charlie Freeman",50.27,5,7,100.0,Premium,Healthy Stock
Untitled Collection: Sabbath Poems 2014,14.27,4,18,80.0,Budget,Healthy Stock
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,4,80.0,Premium,Low Stock
Unicorn Tracks,18.78,3,25,60.0,Budget,Healthy Stock
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,14,20.0,Budget,Healthy Stock
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,18,20.0,Budget,Healthy Stock
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,9,60.0,Standard,Healthy Stock
This One Summer,19.49,4,21,80.0,Budget,Healthy Stock
Thirst,17.27,5,2,100.0,Budget,Low Stock
The Torch Is Passed: A Harding Family Story,19.09,1,20,20.0,Budget,Healthy Stock
The Secret of Dreadwillow Carse,56.13,1,15,20.0,Premium,Healthy Stock
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,7,20.0,Premium,Healthy Stock
The Past Never Ends,56.5,4,12,80.0,Premium,Healthy Stock
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,8,60.0,Premium,Healthy Stock
The Nameless City (The Nameless City #1),38.16,4,15,80.0,Standard,Healthy Stock
The Murder That Never Was (Forensic Instincts #5),54.11,3,3,60.0,Premium,Low Stock
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,14,80.0,Standard,Healthy Stock
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,17,80.0,Budget,Healthy Stock
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,4,60.0,Budget,Low Stock
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,18,100.0,Budget,Healthy Stock
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,8,20.0,Standard,Healthy Stock
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,4,20.0,Premium,Low Stock
The Death of Humanity: and the Case for Life,58.11,4,2,80.0,Premium,Low Stock
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,6,60.0,Premium,Healthy Stock
The Art Forger,40.76,3,22,60.0,Standard,Healthy Stock
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,10,20.0,Budget,Healthy Stock
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,4,100.0,Standard,Low Stock
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,22,80.0,Standard,Healthy Stock
Soul Reader,39.58,2,18,40.0,Standard,Healthy Stock
Security,39.25,2,12,40.0,Standard,Healthy Stock
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,2,60.0,Budget,Low Stock
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,10,40.0,Premium,Healthy Stock
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,4,40.0,Budget,Low Stock
